trade_date,ts_code,name,open,low,high,close,change,pct_change,vol,amount,pe,pb,float_mv,total_mv
2023-04-26,801120.SI,食品饮料,22170.12,21923.94,22299.41,22203.99,39.9,0.18,91549.0,3064605.0,32.89,6.19,246574806.0,592617711.78558
2023-04-27,801120.SI,食品饮料,22175.66,22050.37,22473.14,22328.53,124.54,0.56,95196.0,3187531.0,32.99,6.21,247953142.0,595874890.835387
2023-04-28,801120.SI,食品饮料,22483.08,22440.99,22722.33,22540.28,211.75,0.95,113537.0,3786253.0,33.1,6.14,250307446.0,600308196.342259
2023-05-04,801120.SI,食品饮料,22688.97,22300.24,22838.05,22408.65,-131.63,-0.58,108602.0,3925741.0,31.0,5.89,248845728.0,596094083.388291
2023-05-05,801120.SI,食品饮料,22479.86,22276.75,22551.82,22518.35,109.7,0.49,82015.0,2907662.0,31.15,5.92,250063957.0,599125316.890923
2023-05-08,801120.SI,食品饮料,22629.5,22222.81,22662.07,22256.18,-262.17,-1.16,80382.0,2955798.0,30.79,5.85,247183165.0,591642313.645685
2023-05-09,801120.SI,食品饮料,22192.16,22072.26,22535.13,22243.33,-12.85,-0.06,78099.0,2960537.0,30.78,5.85,247093313.0,591692719.010411
2023-05-10,801120.SI,食品饮料,22176.44,22059.52,22236.44,22160.14,-83.19,-0.37,58968.0,2029530.0,30.66,5.83,246169208.0,589521419.179515
2023-05-11,801120.SI,食品饮料,22221.55,22044.9,22311.56,22051.94,-108.2,-0.49,57164.0,1776156.0,30.51,5.8,244967356.0,586689862.784304
2023-05-12,801120.SI,食品饮料,22024.5,21857.0,22235.46,21857.74,-194.2,-0.88,57182.0,1974845.0,30.24,5.75,242817935.0,581531444.047847
2023-05-15,801120.SI,食品饮料,21814.89,21743.99,22053.17,22053.17,195.43,0.89,62070.0,2157049.0,30.51,5.8,244988926.0,586297826.048723
2023-05-16,801120.SI,食品饮料,22049.46,21799.72,22049.75,21860.0,-193.17,-0.88,65726.0,1996474.0,30.25,5.75,242853469.0,581303293.411865
2023-05-17,801120.SI,食品饮料,21861.1,21645.77,21861.23,21694.58,-165.42,-0.76,65622.0,1944135.0,30.02,5.7,241015682.0,576662119.508835
2023-05-18,801120.SI,食品饮料,21703.99,21496.88,21765.64,21558.92,-135.66,-0.63,61019.0,1972363.0,29.72,5.66,239686804.0,573540051.738383
2023-05-19,801120.SI,食品饮料,21440.82,21296.15,21870.17,21810.87,251.95,1.17,74221.0,2500505.0,30.07,5.72,242487967.0,580120770.898149
2023-05-22,801120.SI,食品饮料,21718.7,21681.49,22475.03,22378.62,567.75,2.6,92484.0,4026274.0,30.85,5.87,248747707.0,594719756.940569
2023-05-23,801120.SI,食品饮料,22379.4,22085.91,22379.4,22085.91,-292.71,-1.31,68271.0,2452074.0,30.45,5.79,245532199.0,586050344.432223
2023-05-24,801120.SI,食品饮料,22077.43,21789.24,22077.47,21789.28,-296.63,-1.34,65817.0,2093547.0,30.04,5.72,242237210.0,578587751.148605
2023-05-25,801120.SI,食品饮料,21699.4,21471.08,21730.32,21606.55,-182.73,-0.84,69511.0,2215550.0,29.79,5.67,240205795.0,573842166.918804
2023-05-26,801120.SI,食品饮料,21621.08,21397.8,21740.89,21564.41,-42.14,-0.2,51790.0,1773822.0,29.73,5.66,239683100.0,572859462.401388
2023-05-29,801120.SI,食品饮料,21600.18,21282.17,21634.44,21415.83,-148.58,-0.69,56529.0,1994008.0,29.56,5.63,238823392.0,568806783.829243
2023-05-30,801120.SI,食品饮料,21410.79,21012.04,21490.2,21177.12,-238.71,-1.11,60787.0,2314948.0,29.23,5.57,236169523.0,561993368.543002
2023-05-31,801120.SI,食品饮料,21102.35,20683.43,21102.35,20759.79,-417.33,-1.97,61195.0,2713811.0,28.65,5.46,231568450.0,550827592.821769
2023-06-01,801120.SI,食品饮料,20699.96,20699.96,21253.08,20881.24,121.45,0.59,70606.0,2564232.0,28.82,5.49,232923212.0,553986382.728804
2023-06-02,801120.SI,食品饮料,20978.08,20863.12,21344.42,21316.97,435.73,2.09,82965.0,2625090.0,29.41,5.6,237641995.0,565361821.91729
2023-06-05,801120.SI,食品饮料,21264.22,20995.01,21320.78,21024.59,-292.38,-1.37,69598.0,2315976.0,29.0,5.52,234382509.0,558104314.674668
2023-06-06,801120.SI,食品饮料,21057.33,20899.49,21269.8,20998.15,-26.44,-0.13,71943.0,2429057.0,28.96,5.52,234028349.0,557363523.594458
2023-06-07,801120.SI,食品饮料,21049.61,20776.14,21113.21,20796.59,-201.56,-0.96,68502.0,2117318.0,28.68,5.46,231817422.0,551882352.424603
2023-06-08,801120.SI,食品饮料,20825.25,20742.71,21045.05,20955.24,158.65,0.76,73347.0,1997683.0,28.9,5.51,233585923.0,556262439.959584
2023-06-09,801120.SI,食品饮料,20987.84,20892.73,21033.07,20912.89,-42.35,-0.2,70348.0,2167317.0,28.85,5.5,233117102.0,554788948.618515
2023-06-12,801120.SI,食品饮料,20896.1,20846.87,21540.83,21434.53,521.64,2.49,94145.0,3365804.0,29.57,5.63,238936680.0,568411727.276735
2023-06-13,801120.SI,食品饮料,21351.9,21305.14,21587.96,21490.15,55.62,0.26,80873.0,2535250.0,29.64,5.65,239556864.0,570554022.385464
2023-06-14,801120.SI,食品饮料,21628.11,21556.69,22039.78,21903.17,413.02,1.92,119890.0,3885374.0,30.21,5.76,244179997.0,581503822.231033
2023-06-15,801120.SI,食品饮料,21964.76,21894.32,22250.17,22247.6,344.43,1.57,101023.0,3386590.0,30.69,5.85,248019784.0,590904889.943681
2023-06-16,801120.SI,食品饮料,22283.94,22200.32,22523.7,22478.33,230.73,1.04,84601.0,3185499.0,31.01,5.91,250627354.0,597168896.596229
2023-06-19,801120.SI,食品饮料,22415.51,21888.86,22497.37,21960.67,-517.66,-2.3,82949.0,3109616.0,30.3,5.77,244855624.0,583218867.809182
2023-06-20,801120.SI,食品饮料,21921.12,21723.03,22073.48,21759.08,-201.58,-0.92,70375.0,2369940.0,30.02,5.72,242616780.0,578213179.429452
2023-06-21,801120.SI,食品饮料,21693.25,21549.35,21825.54,21549.35,-209.73,-0.96,63371.0,2037527.0,29.73,5.66,240278248.0,572378385.022361
2023-06-26,801120.SI,食品饮料,21354.34,20987.09,21354.36,21110.91,-438.44,-2.03,70254.0,2542555.0,29.12,5.55,235389568.0,560554253.179761
2023-06-27,801120.SI,食品饮料,21110.67,20952.23,21223.85,21186.96,76.05,0.36,64489.0,2236988.0,29.23,5.57,236284052.0,562296210.632423
2023-06-28,801120.SI,食品饮料,21161.95,21110.22,21377.48,21300.79,113.83,0.54,72329.0,2108510.0,29.39,5.6,237549949.0,565406349.553685
2023-06-29,801120.SI,食品饮料,21288.74,20996.48,21288.74,21022.19,-278.6,-1.31,67294.0,2101346.0,29.0,5.52,234432244.0,558107227.558547
2023-06-30,801120.SI,食品饮料,20972.46,20844.8,21042.33,20873.29,-148.9,-0.71,64252.0,2180365.0,28.8,5.48,232771734.0,554342490.113853
2023-07-03,801120.SI,食品饮料,20907.63,20870.85,21363.54,21363.54,490.25,2.35,84081.0,2834374.0,29.47,5.61,238238793.0,567262918.456146
2023-07-04,801120.SI,食品饮料,21333.28,21210.06,21429.27,21419.72,56.18,0.26,82472.0,2295609.0,29.55,5.63,238663541.0,569200306.307455
